Record	Species	Country	Locality	Latitude Y	Longitude X	Reliability	host	year	authority
1	Amblyomma astrion	Angola	Alto Catumbela	-12.95	14.75	G1	not individually recorded	before 1942	195
2	Amblyomma astrion	Angola	Barra do Dande	-8.466666667	13.36666667	G1	Syncerus nanus	1962	309
3	Amblyomma astrion	Angola	"Bom Jesus, Luanda"	-9.166666667	13.56666667	G1	Bos taurus	1954	309
4	Amblyomma astrion	Angola	Cacondo (Pungo Andongo)	-9.666666667	15.58333333	G1	"Capra hircus, Ovis aries"	1950	309
5	Amblyomma astrion	Angola	Caputo	-8.5	14.75	G1	Syncerus caffer nanus	1953	295
6	Amblyomma astrion	Angola	Cassoneca	-9.2	13.86666667	G1	Syncerus nanus	1948	309
7	Amblyomma astrion	Angola	Cubal do Hanho	-12.76666667	13.93333333	G1	not individually recorded	before 1942	195
8	Amblyomma astrion	Angola	Dembos	-8.716666667	14.45	G1	"Syncerus caffer nanus, Potamogale sp."	1952	295
9	Amblyomma astrion	Angola	Dombe Grande	-12.96666667	13.1	G1	Bos taurus	"1956, 1962"	309
10	Amblyomma astrion	Angola	Luanda	-8.816666667	13.25	G1	not individually recorded	1909	195
11	Amblyomma astrion	Angola	Nova Redondo (=Sumbe)	-11.2	13.83333333	A1	Syncerus caffer	1926	360
12	Amblyomma astrion	Angola	Nova Redondo (=Sumbe)	-11.2	13.83333333	G1	Syncerus nanus	1951	309
13	Amblyomma astrion	Angola	Quibaxe	-8.5	14.6	G1	"Syncerus caffer nanus, Potamochoerus porcus"	1952	295
14	Amblyomma astrion	Angola	Quifangondo	-8.766666667	13.43333333	G1	Bos taurus	1943	"309, 195"
15	Amblyomma astrion	Angola	"Quilengues, Huila"	-14.06666667	14.08333333	G1	Bos taurus	1950	309
16	Amblyomma astrion	Angola	Vila Nova de Seles	-11.4	14.3	G1	"Syncerus nanus, Bos taurus"	"1951, 1954"	309
17	Amblyomma astrion	CAR	Bangassou	4.75	22.83333333	A1	elephant	1961	"244, 193"
18	Amblyomma astrion	CAR	Bangui	4.366666667	18.58333333	A1	cattle	1951	"244, 193"
19	Amblyomma astrion	CAR	Bouca	6.5	18.3	A1	elephant	1961	"244, 193"
20	Amblyomma astrion	CAR	Kouango	5.016666667	20.03333333	A1	elephant	1961	"244, 193"
21	Amblyomma astrion	DR Congo (former Zaire)	Banana	-6.016666667	12.4	G1	not recorded	1940	39
22	Amblyomma astrion	DR Congo (former Zaire)	Banzyville	4.25	21.16666667	A1	buffalo	1930	39
23	Amblyomma astrion	DR Congo (former Zaire)	Bosobolo	4.216666667	19.91666667	A1	buffalo	"1953, 1959"	39
24	Amblyomma astrion	DR Congo (former Zaire)	Chutes Guillaume	-7.666666667	17.25	A1	buffalo	1945	39
25	Amblyomma astrion	DR Congo (former Zaire)	Coquilhatville	0.116666667	18.33333333	A1	cattle	1945	39
26	Amblyomma astrion	DR Congo (former Zaire)	Ekuta	3	18.83333333	A1	buffalo	before 1966	39
27	Amblyomma astrion	DR Congo (former Zaire)	Gemena	3.3	19.8	A1	not recorded	1937	39
28	Amblyomma astrion	DR Congo (former Zaire)	Guillaume Falls	-7.666666667	17.35	G1	buffalo	1950	39
29	Amblyomma astrion	DR Congo (former Zaire)	Kawa (Lake Albert)	2	31	A1	'wild pig'	before 1966	39
30	Amblyomma astrion	DR Congo (former Zaire)	Leopoldville (=Kinshasa)	-4.3	15.3	G1	not individually recorded	before 1962	193
31	Amblyomma astrion	DR Congo (former Zaire)	"Yaenengu, Tshuapa"	2.466666667	23.25	G1	not individually recorded	before 1962	193
32	Amblyomma astrion	DR Congo (former Zaire)	Zongo: Babegwa Village	4.683333333	18.63333333	A1	buffalo	1929	39
33	Amblyomma astrion	DR Congo (former Zaire)	Zongo: Yaloba village	4.683333333	18.63333333	A1	buffalo	1929	39
34	Amblyomma cohaerens	Angola	Nova Redondo (=Sumbe)	-11.2	13.83333333	A1	Syncerus caffer	1926	360
35	Amblyomma cohaerens	Burundi	Usumbura	-3.666666667	29.75	A1	cattle	1944	39
36	Amblyomma cohaerens	CAR	Bangui	4.366666667	18.58333333	A1	not individually recorded	before 1962	193
37	Amblyomma cohaerens	Ethiopia	Agaro	7.85	36.53333333	A1	not individually recorded	1986-1989	278
38	Amblyomma cohaerens	Ethiopia	Alem Teferi	8.9	35.21666667	A1	not individually recorded	1986-1989	278
39	Amblyomma cohaerens	Ethiopia	Ambuye	7.966666667	36.88333333	A1	not individually recorded	1986-1989	278
40	Amblyomma cohaerens	Ethiopia	Ano	9.1	36.95	A1	not individually recorded	1986-1989	278
41	Amblyomma cohaerens	Ethiopia	Argoba	7.383333333	36.38333333	A1	not individually recorded	1986-1989	278
42	Amblyomma cohaerens	Ethiopia	Asendabo	7.766666667	37.23333333	A1	not individually recorded	1986-1989	278
43	Amblyomma cohaerens	Ethiopia	Asendabo	7.766666667	37.23333333	A1	not individually recorded	1986-1989	278
44	Amblyomma cohaerens	Ethiopia	Barchuma	6.8	35.88333333	A1	not individually recorded	1986-1989	278
45	Amblyomma cohaerens	Ethiopia	Becho	8.2	35.68333333	A1	not individually recorded	1986-1989	278
46	Amblyomma cohaerens	Ethiopia	Bedele	8.466666667	36.35	A1	not individually recorded	1986-1989	278
47	Amblyomma cohaerens	Ethiopia	Beke Chora	8.25	35.58333333	A1	not individually recorded	1986-1989	278
48	Amblyomma cohaerens	Ethiopia	Biftu	7.083333333	35.76666667	A1	not individually recorded	1986-1989	278
49	Amblyomma cohaerens	Ethiopia	Bilo	8.883333333	36.98333333	A1	not individually recorded	1986-1989	278
50	Amblyomma cohaerens	Ethiopia	Birbirsa	7.9	35.3	A1	not individually recorded	1986-1989	278
51	Amblyomma cohaerens	Ethiopia	Bonga	7.25	36.25	A1	not individually recorded	1986-1989	278
52	Amblyomma cohaerens	Ethiopia	Bube	8.85	35.81666667	A1	not individually recorded	1986-1989	278
53	Amblyomma cohaerens	Ethiopia	Bure	8.233333333	35.1	A1	not individually recorded	1986-1989	278
54	Amblyomma cohaerens	Ethiopia	Chara	8.433333333	36.5	A1	not individually recorded	1986-1989	278
55	Amblyomma cohaerens	Ethiopia	Chewaka	7.733333333	35.46666667	A1	not individually recorded	1986-1989	278
56	Amblyomma cohaerens	Ethiopia	Chora	8.383333333	36.11666667	A1	not individually recorded	1986-1989	278
57	Amblyomma cohaerens	Ethiopia	Dabo	8.683333333	36.21666667	A1	not individually recorded	1986-1989	278
58	Amblyomma cohaerens	Ethiopia	Dega	8.583333333	36.13333333	A1	not individually recorded	1986-1989	278
59	Amblyomma cohaerens	Ethiopia	Delba	6.85	36.6	A1	not individually recorded	1986-1989	278
60	Amblyomma cohaerens	Ethiopia	Dembi	8.083333333	36.46666667	A1	not individually recorded	1986-1989	278
61	Amblyomma cohaerens	Ethiopia	Dembidolo	8.533333333	34.63333333	A1	not individually recorded	1986-1989	278
62	Amblyomma cohaerens	Ethiopia	Dijega	8.45	36.33333333	A1	not individually recorded	1986-1989	278
63	Amblyomma cohaerens	Ethiopia	Dimbira	7.3	36	A1	not individually recorded	1986-1989	278
64	Amblyomma cohaerens	Ethiopia	Dimtu	7.716666667	37.15	A1	not individually recorded	1986-1989	278
65	Amblyomma cohaerens	Ethiopia	Duba	8.516666667	35.41666667	A1	not individually recorded	1986-1989	278
66	Amblyomma cohaerens	Ethiopia	Felege Selam	7.133333333	36.45	A1	not individually recorded	1986-1989	278
67	Amblyomma cohaerens	Ethiopia	Fide	7.233333333	35.48333333	A1	not individually recorded	1986-1989	278
68	Amblyomma cohaerens	Ethiopia	Fincha-a	9.583333333	37.36666667	A1	not individually recorded	1986-1989	278
69	Amblyomma cohaerens	Ethiopia	Gambela	8.25	34.58333333	A1	not individually recorded	1986-1989	278
70	Amblyomma cohaerens	Ethiopia	Gatira	7.966666667	36.2	A1	not individually recorded	1986-1989	278
71	Amblyomma cohaerens	Ethiopia	Gecha	7.566666667	35.4	A1	not individually recorded	1986-1989	278
72	Amblyomma cohaerens	Ethiopia	Gedo	7.766666667	36.33333333	A1	not individually recorded	1986-1989	278
73	Amblyomma cohaerens	Ethiopia	Genet	7.966666667	36.88333333	A1	not individually recorded	1986-1989	278
74	Amblyomma cohaerens	Ethiopia	Genji	7.116666667	36.75	A1	not individually recorded	1986-1989	278
75	Amblyomma cohaerens	Ethiopia	Getema	8.9	36.48333333	A1	not individually recorded	1986-1989	278
76	Amblyomma cohaerens	Ethiopia	Ghimbi	9.183333333	35.83333333	A1	not individually recorded	1986-1989	278
77	Amblyomma cohaerens	Ethiopia	Gida Boji	9.383333333	35.65	A1	not individually recorded	1986-1989	278
78	Amblyomma cohaerens	Ethiopia	Gordomo	7.883333333	35.53333333	A1	not individually recorded	1986-1989	278
79	Amblyomma cohaerens	Ethiopia	Gore	8.15	35.53333333	A1	not individually recorded	1986-1989	278
80	Amblyomma cohaerens	Ethiopia	Guliso	9.166666667	35.46666667	A1	not individually recorded	1986-1989	278
81	Amblyomma cohaerens	Ethiopia	Guyi	9.016666667	35.81666667	A1	not individually recorded	1986-1989	278
82	Amblyomma cohaerens	Ethiopia	Hurji Dima	7.716666667	37	A1	not individually recorded	1986-1989	278
83	Amblyomma cohaerens	Ethiopia	Hurumu	8.333333333	35.68333333	A1	not individually recorded	1986-1989	278
84	Amblyomma cohaerens	Ethiopia	Ifa	9.033333333	36.45	A1	not individually recorded	1986-1989	278
85	Amblyomma cohaerens	Ethiopia	Inango	9.166666667	35.68333333	A1	not individually recorded	1986-1989	278
86	Amblyomma cohaerens	Ethiopia	Indena	8.7	34.95	A1	not individually recorded	1986-1989	278
87	Amblyomma cohaerens	Ethiopia	Itang	8.183333333	34.26666667	A1	not individually recorded	1986-1989	278
88	Amblyomma cohaerens	Ethiopia	Jemu	6.633333333	35.78333333	A1	not individually recorded	1986-1989	278
89	Amblyomma cohaerens	Ethiopia	Jere	9.216666667	37.23333333	A1	not individually recorded	1986-1989	278
90	Amblyomma cohaerens	Ethiopia	Jima town	7.666666667	36.83333333	A1	not individually recorded	1986-1989	278
91	Amblyomma cohaerens	Ethiopia	Jimma	7.666666667	36.83333333	G1	not individually recorded	before 1962	193
92	Amblyomma cohaerens	Ethiopia	Kake	8.916666667	35.05	A1	not individually recorded	1986-1989	278
93	Amblyomma cohaerens	Ethiopia	Kebe	8.966666667	34.95	A1	not individually recorded	1986-1989	278
94	Amblyomma cohaerens	Ethiopia	Kedame Gebaya	9.15	36.4	A1	not individually recorded	1986-1989	278
95	Amblyomma cohaerens	Ethiopia	Kepi na Warali	7.766666667	36.2	A1	not individually recorded	1986-1989	278
96	Amblyomma cohaerens	Ethiopia	Kerre Dellilo	8.55	36.36666667	A1	not individually recorded	1986-1989	278
97	Amblyomma cohaerens	Ethiopia	Kile	8.933333333	35.35	A1	not individually recorded	1986-1989	278
98	Amblyomma cohaerens	Ethiopia	Koboch	7.433333333	36.21666667	A1	not individually recorded	1986-1989	278
99	Amblyomma cohaerens	Ethiopia	Kolla	6.933333333	36.33333333	A1	not individually recorded	1986-1989	278
100	Amblyomma cohaerens	Ethiopia	Kombolcha	7.5	37.13333333	A1	not individually recorded	1986-1989	278
101	Amblyomma cohaerens	Ethiopia	Lalo Abey	8.766666667	36.5	A1	not individually recorded	1986-1989	278
102	Amblyomma cohaerens	Ethiopia	Leka Kombolcha	8.316666667	36.61666667	A1	not individually recorded	1986-1989	278
103	Amblyomma cohaerens	Ethiopia	Maji	6.25	35.61666667	A1	not individually recorded	1986-1989	278
104	Amblyomma cohaerens	Ethiopia	Masha	7.75	35.46666667	A1	not individually recorded	1986-1989	278
105	Amblyomma cohaerens	Ethiopia	Mechara	8.733333333	35	A1	not individually recorded	1986-1989	278
106	Amblyomma cohaerens	Ethiopia	Mechele	8.583333333	36.18333333	A1	not individually recorded	1986-1989	278
107	Amblyomma cohaerens	Ethiopia	Medhanie Alem	7.083333333	37.03333333	A1	not individually recorded	1986-1989	278
108	Amblyomma cohaerens	Ethiopia	Meko	8.683333333	36.03333333	A1	not individually recorded	1986-1989	278
109	Amblyomma cohaerens	Ethiopia	Mendi	9.816666667	35.08333333	A1	not individually recorded	1986-1989	278
110	Amblyomma cohaerens	Ethiopia	Meti	7.233333333	35.31666667	A1	not individually recorded	1986-1989	278
111	Amblyomma cohaerens	Ethiopia	Metu	8.3	35.58333333	A1	not individually recorded	1986-1989	278
112	Amblyomma cohaerens	Ethiopia	Mizan Teferi	7	35.6	A1	not individually recorded	1986-1989	278
113	Amblyomma cohaerens	Ethiopia	Mote	8.833333333	36.91666667	A1	not individually recorded	1986-1989	278
114	Amblyomma cohaerens	Ethiopia	Mugi	8.566666667	34.6	A1	not individually recorded	1986-1989	278
115	Amblyomma cohaerens	Ethiopia	Nejo	8.85	35.48333333	A1	not individually recorded	1986-1989	278
116	Amblyomma cohaerens	Ethiopia	Nekempte	9.083333333	36.53333333	A1	not individually recorded	1986-1989	278
117	Amblyomma cohaerens	Ethiopia	Nopa	8.383333333	35.6	A1	not individually recorded	1986-1989	278
118	Amblyomma cohaerens	Ethiopia	not given	11.8289	37.5517	M2	not individually recorded	1972-1977	150
119	Amblyomma cohaerens	Ethiopia	not given	10.1887	40.7121	M2	not individually recorded	1972-1977	150
120	Amblyomma cohaerens	Ethiopia	not given	10.1292	39.9833	M2	not individually recorded	1972-1977	150
121	Amblyomma cohaerens	Ethiopia	not given	10.2208	39.4525	M2	not individually recorded	1972-1977	150
122	Amblyomma cohaerens	Ethiopia	not given	8.6904	41.4253	M2	not individually recorded	1972-1977	150
123	Amblyomma cohaerens	Ethiopia	not given	9.4782	39.3638	M2	not individually recorded	1972-1977	150
124	Amblyomma cohaerens	Ethiopia	not given	8.8128	39.1297	M2	not individually recorded	1972-1977	150
125	Amblyomma cohaerens	Ethiopia	not given	9.2433	38.4527	M2	not individually recorded	1972-1977	150
126	Amblyomma cohaerens	Ethiopia	not given	9.3912	37.6649	M2	not individually recorded	1972-1977	150
127	Amblyomma cohaerens	Ethiopia	not given	8.7427	37.9553	M2	not individually recorded	1972-1977	150
128	Amblyomma cohaerens	Ethiopia	not given	9.8338	36.4747	M2	not individually recorded	1972-1977	150
129	Amblyomma cohaerens	Ethiopia	not given	9.1936	36.4041	M2	not individually recorded	1972-1977	150
130	Amblyomma cohaerens	Ethiopia	not given	9.4571	35.3032	M2	not individually recorded	1972-1977	150
131	Amblyomma cohaerens	Ethiopia	not given	8.4298	35.5274	M2	not individually recorded	1972-1977	150
132	Amblyomma cohaerens	Ethiopia	not given	8.4443	36.2636	M2	not individually recorded	1972-1977	150
133	Amblyomma cohaerens	Ethiopia	not given	6.8647	37.1737	M2	not individually recorded	1972-1977	150
134	Amblyomma cohaerens	Ethiopia	not given	7.5906	37.1915	M2	not individually recorded	1972-1977	150
135	Amblyomma cohaerens	Ethiopia	not given	8.0217	36.7127	M2	not individually recorded	1972-1977	150
136	Amblyomma cohaerens	Ethiopia	not given	7.8373	35.9056	M2	not individually recorded	1972-1977	150
137	Amblyomma cohaerens	Ethiopia	not given	6.9298	36.3138	M2	not individually recorded	1972-1977	150
138	Amblyomma cohaerens	Ethiopia	not given	6.9935	35.2856	M2	not individually recorded	1972-1977	150
139	Amblyomma cohaerens	Ethiopia	not given	6.238	35.5199	M2	not individually recorded	1972-1977	150
140	Amblyomma cohaerens	Ethiopia	not given	7.6852	38.3365	M2	not individually recorded	1972-1977	150
141	Amblyomma cohaerens	Ethiopia	not given	7.5939	39.0791	M2	not individually recorded	1972-1977	150
142	Amblyomma cohaerens	Ethiopia	not given	6.8289	38.3653	M2	not individually recorded	1972-1977	150
143	Amblyomma cohaerens	Ethiopia	not given	6.7408	37.8424	M2	not individually recorded	1972-1977	150
144	Amblyomma cohaerens	Ethiopia	not given	6.13	37.5359	M2	not individually recorded	1972-1977	150
145	Amblyomma cohaerens	Ethiopia	not given	6.216	38.1485	M2	not individually recorded	1972-1977	150
146	Amblyomma cohaerens	Ethiopia	not given	5.7602	38.8876	M2	not individually recorded	1972-1977	150
147	Amblyomma cohaerens	Ethiopia	not given	4.9176	39.6825	M2	not individually recorded	1972-1977	150
148	Amblyomma cohaerens	Ethiopia	not given	5.2624	36.4674	M2	not individually recorded	1972-1977	150
149	Amblyomma cohaerens	Ethiopia	Nunu	8.766666667	36.61666667	A1	not individually recorded	1986-1989	278
150	Amblyomma cohaerens	Ethiopia	Ogo Kersa	8.15	36.58333333	A1	not individually recorded	1986-1989	278
151	Amblyomma cohaerens	Ethiopia	Omonada	7.616666667	37.26666667	A1	not individually recorded	1986-1989	278
152	Amblyomma cohaerens	Ethiopia	Saja	7.966666667	37.43333333	A1	not individually recorded	1986-1989	278
153	Amblyomma cohaerens	Ethiopia	Segno Gebeya	9.466666667	35.26666667	A1	not individually recorded	1986-1989	278
154	Amblyomma cohaerens	Ethiopia	Seka	7.6	36.93333333	A1	not individually recorded	1986-1989	278
155	Amblyomma cohaerens	Ethiopia	Seka	7.783333333	36.71666667	A1	not individually recorded	1986-1989	278
156	Amblyomma cohaerens	Ethiopia	Sekoru	7.95	37.31666667	A1	not individually recorded	1986-1989	278
157	Amblyomma cohaerens	Ethiopia	Serbo	7.7	36.96666667	A1	not individually recorded	1986-1989	278
158	Amblyomma cohaerens	Ethiopia	Shambu	9.566666667	37.05	A1	not individually recorded	1986-1989	278
159	Amblyomma cohaerens	Ethiopia	Shapa	7.25	36.25	A1	not individually recorded	1986-1989	278
160	Amblyomma cohaerens	Ethiopia	Sheda	7.183333333	36.9	A1	not individually recorded	1986-1989	278
161	Amblyomma cohaerens	Ethiopia	Sheki	7.5	36.61666667	A1	not individually recorded	1986-1989	278
162	Amblyomma cohaerens	Ethiopia	Sheko	7.05	35.48333333	A1	not individually recorded	1986-1989	278
163	Amblyomma cohaerens	Ethiopia	Shera	7.35	36.45	A1	not individually recorded	1986-1989	278
164	Amblyomma cohaerens	Ethiopia	Shewa Girima	6.966666667	35.76666667	A1	not individually recorded	1986-1989	278
165	Amblyomma cohaerens	Ethiopia	Shishinda	7.25	35.9	A1	not individually recorded	1986-1989	278
166	Amblyomma cohaerens	Ethiopia	Shotent	6.583333333	35.5	A1	not individually recorded	1986-1989	278
167	Amblyomma cohaerens	Ethiopia	Sibo	8.233333333	35.23333333	A1	not individually recorded	1986-1989	278
168	Amblyomma cohaerens	Ethiopia	Sibo na Genji	8.6	35.71666667	A1	not individually recorded	1986-1989	278
169	Amblyomma cohaerens	Ethiopia	Sida	8	36.48333333	A1	not individually recorded	1986-1989	278
170	Amblyomma cohaerens	Ethiopia	Sigmo	7.9	36.11666667	A1	not individually recorded	1986-1989	278
171	Amblyomma cohaerens	Ethiopia	Sire	9.05	36.86666667	A1	not individually recorded	1986-1989	278
172	Amblyomma cohaerens	Ethiopia	Soddu (=Sodo)	6.9	37.75	G1	not individually recorded	before 1962	193
173	Amblyomma cohaerens	Ethiopia	Somedo Abejidi	7.766666667	36.81666667	A1	not individually recorded	1986-1989	278
174	Amblyomma cohaerens	Ethiopia	Supe	8.516666667	35.66666667	A1	not individually recorded	1986-1989	278
175	Amblyomma cohaerens	Ethiopia	Tepi	7.2	35.41666667	A1	not individually recorded	1986-1989	278
176	Amblyomma cohaerens	Ethiopia	Toba	8	36.46666667	A1	not individually recorded	1986-1989	278
177	Amblyomma cohaerens	Ethiopia	Toba	8	36.46666667	A1	not individually recorded	1986-1989	278
178	Amblyomma cohaerens	Ethiopia	Tollay	8.3	37.36666667	A1	not individually recorded	1986-1989	278
179	Amblyomma cohaerens	Ethiopia	Tum	6.383333333	35.53333333	A1	not individually recorded	1986-1989	278
180	Amblyomma cohaerens	Ethiopia	Uffa	7.383333333	36.25	A1	not individually recorded	1986-1989	278
181	Amblyomma cohaerens	Ethiopia	Uka	8.166666667	35.36666667	A1	not individually recorded	1986-1989	278
182	Amblyomma cohaerens	Ethiopia	Ume	8.533333333	35.65	A1	not individually recorded	1986-1989	278
183	Amblyomma cohaerens	Ethiopia	Waka	7.1	37.21666667	A1	not individually recorded	1986-1989	278
184	Amblyomma cohaerens	Ethiopia	Wayu Tuka	9.216666667	37.35	A1	not individually recorded	1986-1989	278
185	Amblyomma cohaerens	Ethiopia	Wolde Hane	7.233333333	37.26666667	A1	not individually recorded	1986-1989	278
186	Amblyomma cohaerens	Ethiopia	Wushwush	7.35	36.13333333	A1	not individually recorded	1986-1989	278
187	Amblyomma cohaerens	Ethiopia	Yanfa	8.25	36.6	A1	not individually recorded	1986-1989	278
188	Amblyomma cohaerens	Ethiopia	Yayo	8.35	35.83333333	A1	not individually recorded	1986-1989	278
189	Amblyomma cohaerens	Ethiopia	Yebu	7.783333333	36.73333333	A1	not individually recorded	1986-1989	278
190	Amblyomma cohaerens	Ethiopia	Yubdo	8.966666667	35.45	A1	not individually recorded	1986-1989	278
191	Amblyomma cohaerens	Ethiopia	Zagin	6.966666667	35.76666667	A1	not individually recorded	1986-1989	278
192	Amblyomma cohaerens	Kenya	Kipleleon Ranch	-1.1	35.23333333	G1	not individually recorded	before 1974	203
193	Amblyomma cohaerens	Kenya	Metta Plains	-1.516666667	35.18333333	G1	not individually recorded	before 1974	203
194	Amblyomma cohaerens	Kenya	Narok area	-1.083333333	35.86666667	G2	not individually recorded	before 1974	203
195	Amblyomma cohaerens	Kenya	Narok District near Mara River	-1.5	34.91666667	A1	not individually recorded	before 1974	203
196	Amblyomma cohaerens	Kenya	Ol Doinyo Sabuk	-1.133333333	37.25	G1	not individually recorded	before 1974	203
197	Amblyomma cohaerens	Rwanda	Mutara	-1.966666667	30.08333333	A2	cow	1949	39
198	Amblyomma cohaerens	Rwanda/Burundi	Usembura	-3.666666667	29.75	A1	not individually recorded	before 1962	193
199	Amblyomma cohaerens	Sudan	Boma Plains	6.166666667	34.46666667	G2	Syncerus caffer	before 1956	230
200	Amblyomma cohaerens	Sudan	Ikoto	4.083333333	33.1	G1	Numida meleagris	before 1956	230
201	Amblyomma cohaerens	Sudan	Obbo	4.016666667	32.5	G1	"Grammomys macmillani, Turdus libonyanus"	before 1956	230
202	Amblyomma cohaerens	Sudan	Torit	4.4	32.56666667	G1	Francolinus clappertoni	before 1956	230
203	Amblyomma cohaerens	Tanzania	Banagi	-2.283333333	34.83333333	A1	Syncerus caffer (buffalo)	1952-1964	224
204	Amblyomma cohaerens	Tanzania	"Buddu Forest, Masaka (Masaka coords)"	-6.3	34.5	G2	not individually recorded	before 1962	193
205	Amblyomma cohaerens	Tanzania	Bugoma Forest (=Bugomba)	-4.016666667	31.98333333	G2	not individually recorded	before 1962	193
206	Amblyomma cohaerens	Tanzania	Dutwa Plains	-2.5	34.25	A1	Syncerus caffer (buffalo)	1952-1964	224
207	Amblyomma cohaerens	Tanzania	Lower Kishanda Valley	-1.3	30.8	A1	Syncerus caffer (buffalo)	1952-1964	224
208	Amblyomma cohaerens	Tanzania	Maswa District	-2.666666667	34.33333333	A1	Syncerus caffer (buffalo)	1952-1964	224
209	Amblyomma cohaerens	Tanzania	"N Mara District, near Mara River"	-1.55	34.66666667	A1	Syncerus caffer (buffalo)	1952-1964	224
210	Amblyomma cohaerens	Uganda	Budde	0.116666667	32.18333333	G1	not individually recorded	before 1962	193
211	Amblyomma cohaerens	Uganda	"Bugoma forest, Bunyoro district"	1.25	29.11666667	A1	not recorded	1910	360
212	Amblyomma cohaerens	Uganda	Bugongo	0.85	32.6	A1	Syncerus caffer	1930	360
213	Amblyomma cohaerens	Uganda	Kigezi	0.266666667	31.61666667	G1	not individually recorded	before 1962	193
214	Amblyomma cohaerens	Uganda	Koja	0.166666667	31.21666667	A1	Syncerus caffer	1932	360
215	Amblyomma cohaerens	Uganda	Lake Albert	1.666666667	31	G1	not individually recorded	before 1962	193
216	Amblyomma cohaerens	Uganda	Lake Albert	1.833333333	31	A1	Syncerus caffer	1905	360
217	Amblyomma cohaerens	Uganda	"Lake Edward, Kazinga Channel"	-0.216666667	29.88333333	G1	not individually recorded	before 1962	193
218	Amblyomma cohaerens	Uganda	"Mpumu, Chagwe"	0.2	31.16666667	A1	not recorded	1909	360
219	Amblyomma cohaerens	Uganda	Nakasongola	1.316666667	32.46666667	G1	not individually recorded	before 1962	193
220	Amblyomma cohaerens	Uganda	Nchwera River	-1.583333333	28.25	A3	Syncerus caffer	1912	360
221	Amblyomma cohaerens	Uganda	Queen Elizabeth Park (=Ruwenzori)	-0.25	30	G1	not individually recorded	before 1962	193
222	Amblyomma cohaerens	Uganda	S Ankole Kingdom	-1.5	29.5	A3	on vegetation	1911	360
223	Amblyomma cohaerens	Uganda	Toro	0.5	30.25	G1	not individually recorded	before 1962	193
224	Amblyomma cohaerens	Uganda	Toro Game Reserve	1.083333333	29.58333333	A2	on earth where buffalo was lying	1910	360
225	Amblyomma cohaerens	Uganda	Villa Maria	-1.766666667	30.26666667	A1	Syncerus caffer	1913	360
226	Amblyomma cohaerens	DR Congo (former Zaire)	Albert Nat. Park	-0.733333333	29.3	A2	"Kobus defassa, buffalo, Hylochoerus sp."	before 1966	39
227	Amblyomma cohaerens	DR Congo (former Zaire)	Aru	2.866666667	30.85	G1	"""red buffalo"", buffalo"	"1945, 1953"	39
228	Amblyomma cohaerens	DR Congo (former Zaire)	Bambesa	3.416666667	25.75	A1	buffalo	1937	39
229	Amblyomma cohaerens	DR Congo (former Zaire)	Beni	0.5	29.46666667	G1	buffalo	before 1966	39
230	Amblyomma cohaerens	DR Congo (former Zaire)	Beni (Semliki plain)	0.5	29.46666667	G1	not recorded (probably buffalo)	1926-1927	12
231	Amblyomma cohaerens	DR Congo (former Zaire)	"Beni, Nord-Kivu"	0.5	28.53333333	A1	Syncerus caffer	1914	360
232	Amblyomma cohaerens	DR Congo (former Zaire)	Bungulu (near Beni)	0.383333333	29.3	G1	not recorded (probably buffalo)	1926-1927	12
233	Amblyomma cohaerens	DR Congo (former Zaire)	Coquilhatville	0.116666667	18.33333333	A1	cattle	1945	39
234	Amblyomma cohaerens	DR Congo (former Zaire)	Dema	2.716666667	27.61666667	G1	not recorded	before 1966	39
235	Amblyomma cohaerens	DR Congo (former Zaire)	Doruma	4.716666667	27.7	A1	Syncerus caffer	"1928, 1929"	39
236	Amblyomma cohaerens	DR Congo (former Zaire)	Dungu	3.633333333	28.55	A1	cattle	1908	39
237	Amblyomma cohaerens	DR Congo (former Zaire)	Epulu	1.383333333	28.5	A1	buffalo	1956	39
238	Amblyomma cohaerens	DR Congo (former Zaire)	Gabu-Nioka	3.416666667	27.08333333	A1	"buffalo, black buffalo"	"1948, 1949, 1950, 1951, 1952"	39
239	Amblyomma cohaerens	DR Congo (former Zaire)	Garamba Nat. Park	4.166666667	29.5	G2	"on ground, on vegetation, buffalo (several collections each)"	"1950, 1951, 1952"	39
240	Amblyomma cohaerens	DR Congo (former Zaire)	Isangai	0.816666667	24.13333333	A1	not recorded	before 1966	39
241	Amblyomma cohaerens	DR Congo (former Zaire)	Ishasha River	-0.75	29.75	A2	buffalo	1927	39
242	Amblyomma cohaerens	DR Congo (former Zaire)	Ituri Forest	1.85	29.96666667	G2	buffalo	1927	39
243	Amblyomma cohaerens	DR Congo (former Zaire)	Kabasha (escarpment)	-0.7	29.25	A1	buffalo	1934	39
244	Amblyomma cohaerens	DR Congo (former Zaire)	Kamba-Komba	2.866666667	24.06666667	A1	buffalo	1931	39
245	Amblyomma cohaerens	DR Congo (former Zaire)	Kasenye	1.45	30.46666667	A1	Syncerus caffer	"1934, 1937"	39
246	Amblyomma cohaerens	DR Congo (former Zaire)	Katompe	-6.133333333	26.33333333	A1	not recorded	1936	39
247	Amblyomma cohaerens	DR Congo (former Zaire)	Kawa (Lac Albert)	2	31	A2	on vegetation	1939	39
248	Amblyomma cohaerens	DR Congo (former Zaire)	Kere Kere	2.7	30.58333333	A1	not recorded	1950	39
